item_id,title,price,end_date,item_type,total_bids,url,seller
719095089,Rörstrand Zoega Mon Amie kaffeburk å nytt kaffe zoega,650,2026-02-28 14:53:07.102000+00:00,PureBin,0,https://www.tradera.comhttps://www.tradera.com/item/341135/719095089/rorstrand-zoega-mon-amie-kaffeburk-a-nytt-kaffe-zoega,lottis 3
719097738,"Rörstrand Zoegas, Mon Amie Marianne Westman Kaffeburk",350,2026-02-28 14:57:01.804000+00:00,PureBin,0,https://www.tradera.comhttps://www.tradera.com/item/341135/719097738/rorstrand-zoegas-mon-amie-marianne-westman-kaffeburk,KLarsson91
719097360,"Rörstrand Zoega, Mon Amie Marianne Westman plåtburk",375,2026-02-28 15:11:09.973000+00:00,PureBin,0,https://www.tradera.comhttps://www.tradera.com/item/341135/719097360/rorstrand-zoega-mon-amie-marianne-westman-platburk,KLarsson91
719094379,Zoegas Rörstrand Mon Amie plåtburk burk,500,2026-02-28 15:33:04.729000+00:00,PureBin,0,https://www.tradera.comhttps://www.tradera.com/item/341135/719094379/zoegas-rorstrand-mon-amie-platburk-burk,ann-helene43
719104306,Rörstrand Zoégas Mon Amie Marianne Westman plåtburk kaffeburk NY slutsåld,399,2026-02-28 15:36:36.274000+00:00,AuctionBin,0,https://www.tradera.comhttps://www.tradera.com/item/341135/719104306/rorstrand-zoégas-mon-amie-marianne-westman-platburk-kaffeburk-ny-slutsald,jomil
719093707,Rörstrand Zoégas Mon Amie Marianne Westman plåtburk kaffeburk + kaffe slutsåld,500,2026-02-28 16:25:01.804000+00:00,PureBin,0,https://www.tradera.comhttps://www.tradera.com/item/341135/719093707/rorstrand-zoégas-mon-amie-marianne-westman-platburk-kaffeburk-kaffe-slutsald,Fina_ting_
719095625,Rörstrand Zoégas Mon Amie Marianne Westman plåtburk kaffeburk NY slutsåld,399,2026-02-28 16:50:41.845000+00:00,AuctionBin,0,https://www.tradera.comhttps://www.tradera.com/item/341135/719095625/rorstrand-zoégas-mon-amie-marianne-westman-platburk-kaffeburk-ny-slutsald,jomil
719124917,Rörstrand Zoégas Mon Amie Marianne Westman plåtburk kaffeburk NY slutsåld,349,2026-02-28 16:56:41.728000+00:00,AuctionBin,0,https://www.tradera.comhttps://www.tradera.com/item/341135/719124917/rorstrand-zoégas-mon-amie-marianne-westman-platburk-kaffeburk-ny-slutsald,Guldstiffe
719125062,Nytt Zoégas kaffeburk i plåt i samarbete med Rörstrand,399,2026-02-28 17:06:47.729000+00:00,PureBin,0,https://www.tradera.comhttps://www.tradera.com/item/293001/719125062/nytt-zoégas-kaffeburk-i-plat-i-samarbete-med-rorstrand,ugrabugra
719124858,Nytt Zoégas kaffeburk i plåt i samarbete med Rörstrand,399,2026-02-28 17:13:59.162000+00:00,PureBin,0,https://www.tradera.comhttps://www.tradera.com/item/293001/719124858/nytt-zoégas-kaffeburk-i-plat-i-samarbete-med-rorstrand,ugrabugra
719124674,Nytt Zoégas kaffeburk i plåt i samarbete med Rörstrand,399,2026-02-28 17:38:55.244000+00:00,PureBin,0,https://www.tradera.comhttps://www.tradera.com/item/293001/719124674/nytt-zoégas-kaffeburk-i-plat-i-samarbete-med-rorstrand,ugrabugra
719131510,Rörstrand Zoégas Mon Amie Marianne Westman plåtburk kaffeburk + kaffe slutsåld,500,2026-02-28 17:40:54.863000+00:00,PureBin,0,https://www.tradera.comhttps://www.tradera.com/item/341135/719131510/rorstrand-zoégas-mon-amie-marianne-westman-platburk-kaffeburk-kaffe-slutsald,Fina_ting_
719127058,Rörstrand Zoégas Mon Amie Marianne Westman plåtburk kaffeburk NY slutsåld,349,2026-02-28 18:17:52.930000+00:00,AuctionBin,0,https://www.tradera.comhttps://www.tradera.com/item/341135/719127058/rorstrand-zoégas-mon-amie-marianne-westman-platburk-kaffeburk-ny-slutsald,Guldstiffe
719124936,Nytt Zoégas kaffeburk i plåt i samarbete med Rörstrand,399,2026-02-28 18:26:44.650000+00:00,PureBin,0,https://www.tradera.comhttps://www.tradera.com/item/293001/719124936/nytt-zoégas-kaffeburk-i-plat-i-samarbete-med-rorstrand,ugrabugra
719124977,Nytt Zoégas kaffeburk i plåt i samarbete med Rörstrand,399,2026-02-28 18:37:39.175000+00:00,PureBin,0,https://www.tradera.comhttps://www.tradera.com/item/293001/719124977/nytt-zoégas-kaffeburk-i-plat-i-samarbete-med-rorstrand,ugrabugra
719121394,Zoegas Rörstrand Mon Amie plåtburk burk,550,2026-02-28 18:46:12.215000+00:00,PureBin,0,https://www.tradera.comhttps://www.tradera.com/item/341135/719121394/zoegas-rorstrand-mon-amie-platburk-burk,ann-helene43
719101968,Zoegas Mon Amie kaffeburk och kaffe,750,2026-02-28 19:44:21.472000+00:00,PureBin,0,https://www.tradera.comhttps://www.tradera.com/item/341380/719101968/zoegas-mon-amie-kaffeburk-och-kaffe,milolilo75
719160873,Zoegas x Rörstrand Mon Amie,650,2026-02-28 19:59:25.539000+00:00,PureBin,0,https://www.tradera.comhttps://www.tradera.com/item/341144/719160873/zoegas-x-rorstrand-mon-amie,Daviddos
719134858,NY Rörstrand Zoégas Mon Amie Marianne Westman kaffeburk plåtburk i originalförp.,299,2026-02-28 20:31:12.706000+00:00,AuctionBin,0,https://www.tradera.comhttps://www.tradera.com/item/293001/719134858/ny-rorstrand-zoégas-mon-amie-marianne-westman-kaffeburk-platburk-i-originalforp-,lenalottis
719105590,Zoegas & Rörstrand Jubileumsutgåva Limited Edition Mon Amie kaffeburk NY,450,2026-02-28 22:32:29.610000+00:00,AuctionBin,0,https://www.tradera.comhttps://www.tradera.com/item/341135/719105590/zoegas-rorstrand-jubileumsutgava-limited-edition-mon-amie-kaffeburk-ny,SaraB77
719186180,NY Rörstrand Zoégas Mon Amie Marianne Westman kaffeburk plåtburk i originalförp.,299,2026-02-28 23:42:29.742000+00:00,AuctionBin,0,https://www.tradera.comhttps://www.tradera.com/item/293001/719186180/ny-rorstrand-zoégas-mon-amie-marianne-westman-kaffeburk-platburk-i-originalforp-,lenalottis
719193636,Rörstrand Mon Amie x Zoégas plåtburk,399,2026-03-01 05:31:47.526000+00:00,AuctionBin,0,https://www.tradera.comhttps://www.tradera.com/item/341135/719193636/rorstrand-mon-amie-x-zoégas-platburk,Sandraolss
719172439,Zoegas Rörstrand Mon Amie plåtburk burk,599,2026-03-01 06:08:35.858000+00:00,PureBin,0,https://www.tradera.comhttps://www.tradera.com/item/341135/719172439/zoegas-rorstrand-mon-amie-platburk-burk,ann-helene43
719155089,Rörstrand Mon Amie Zoegas kaffeburk NY,599,2026-03-01 06:31:03.056000+00:00,PureBin,0,https://www.tradera.comhttps://www.tradera.com/item/341380/719155089/rorstrand-mon-amie-zoegas-kaffeburk-ny,Drift_King
719068139,Mon Amie Zoegas kaffeburk,650,2026-03-01 06:35:33.990000+00:00,PureBin,0,https://www.tradera.comhttps://www.tradera.com/item/341380/719068139/mon-amie-zoegas-kaffeburk,erixon.ida
719226060,"Zoegas plåtburk med kaffe, Rörstrand Mon Amie",610,2026-03-01 07:31:23.037000+00:00,PureBin,0,https://www.tradera.comhttps://www.tradera.com/item/293001/719226060/zoegas-platburk-med-kaffe-rorstrand-mon-amie,mollin
719231618,Mon Amie kaffeburk,399,2026-03-01 07:34:46.446000+00:00,PureBin,0,https://www.tradera.comhttps://www.tradera.com/item/341135/719231618/mon-amie-kaffeburk,Bigbella
719213155,ZOEGA/Rörstrand (Mon Amie) kaffeburk,595,2026-03-01 07:48:04.666000+00:00,PureBin,0,https://www.tradera.comhttps://www.tradera.com/item/344368/719213155/zoega-rorstrand-mon-amie-kaffeburk,Emmaooooos
719233959,Rörstrand Zoégas Mon Amie Marianne Westman plåtburk kaffeburk + kaffe slutsåld,549,2026-03-01 08:11:34.080000+00:00,PureBin,0,https://www.tradera.comhttps://www.tradera.com/item/341135/719233959/rorstrand-zoégas-mon-amie-marianne-westman-platburk-kaffeburk-kaffe-slutsald,Fina_ting_
719245802,Rörstrand Zoégas Mon Amie Marianne Westman plåtburk kaffeburk NY slutsåld,349,2026-03-01 08:44:38.063000+00:00,AuctionBin,0,https://www.tradera.comhttps://www.tradera.com/item/341135/719245802/rorstrand-zoégas-mon-amie-marianne-westman-platburk-kaffeburk-ny-slutsald,Guldstiffe
719246898,Rörstrand Zoégas Mon Amie Marianne Westman plåtburk kaffeburk NY slutsåld,349,2026-03-01 09:00:40.917000+00:00,AuctionBin,0,https://www.tradera.comhttps://www.tradera.com/item/341135/719246898/rorstrand-zoégas-mon-amie-marianne-westman-platburk-kaffeburk-ny-slutsald,Guldstiffe
719095286,Zoégas plåtburk Mon Amie Marianne Westman Ny Plåtburk Rörstrand kaffeburk,999,2026-03-01 09:21:26.685000+00:00,PureBin,0,https://www.tradera.comhttps://www.tradera.com/item/341135/719095286/zoégas-platburk-mon-amie-marianne-westman-ny-platburk-rorstrand-kaffeburk,Anlemoka
719249821,Mon amie kaffeburk och kaffepaket,600,2026-03-01 09:26:09.886000+00:00,PureBin,0,https://www.tradera.comhttps://www.tradera.com/item/341135/719249821/mon-amie-kaffeburk-och-kaffepaket,ALEKMAN
719257625,Rörstrand Mon AMIE x Zoegas kaffeburk i plåt,400,2026-03-01 09:34:02.543000+00:00,AuctionBin,0,https://www.tradera.comhttps://www.tradera.com/item/293001/719257625/rorstrand-mon-amie-x-zoegas-kaffeburk-i-plat,morhanna
